"KodeUnit","Norek","NamaRekening","Netral","vblok",
"13","150000005","CV.ANNISA","False","False",
"13","130120032","PENTA GLOBAL PT.","False","False",
"13","050020203","MENGGARPU","False","False",
"13","050040300","MENDIRIKAN BANGUNAN","False","False",
"13","150140106","PT.NINA HERLINA","False","False",
"13","602010000","GAJI NON STAF","False","False",
"13","143000004","ERI JOHARI","False","False",
"13","050050204","MEMETAK","False","False",
"13","052021914","TUNJANGAN KHUSUS","False","False",
"13","157060800","YUBILEUM","False","False",
"13","929020300","GAJI/UPAH DAN TUNJANGAN PENGAWAS","False","False",
"13","150050123","PT.MULTI PRIMA INDO SEJAHTERA","False","False",
"13","080022900","UNIT USAHA PENGEPAKAN TEH (UUPT)","False","False",
"13","970100200","PENDAPATAN SEWA BANGUNAN PABRIK","False","False",
"13","040040100","PENANAMAN PUHON PELINDUNG","False","False",
"13","0560119**","TUNJANGAN DAN BIAYA SOSIAL KARYAWAN","False","False",
"13","130227151","CV.PURNAMA JAYA","False","False",
"13","058010500","JALAN, SAL.AIR & TERAS","False","False",
"13","150120473","CV.MAJUKA","False","False",
"13","050040205","MENGAJIR","False","False",
"13","056030801","MENDIRIKAN BANGUNAN","False","False",
"13","057011913","TUNJANGAN JABATAN","False","False",
"13","150000007","CV.ASSUDA JAYA","False","False",
"13","860021000","BIAYA AUCTION U/TEH","False","False",
"13","052001941","TUNJANGAN TETAP","False","False",
"13","150120220","KOPERASI KARYAWAN KEBUN SINUMBRA","False","False",
"13","929091000","BIAYA RESTRIBUSI","False","False",
"13","975000101","PENDAPATAN BUNGA DEPOSITO","False","False",
"13","150120229","CV.LINTAS PRATAMA","False","False",
"13","040190009","TUNJANGAN KOMUNIKASI","False","False",
"13","040190010","TUNJANGAN BBM/SEPEDA MOTOR","False","False",
"13","040190011","TUNJANGAN TETAP","False","False",
"13","040190012","TUNJANGAN STRUKTURAL","False","False",
"13","040190013","TUNJANGAN JABATAN","False","False",
"13","040190014","TUNJANGAN KHUSUS","False","False",
"13","040190015","TUNJANGAN HARI RAYA KEAGAMAAN","False","False",
"13","0401901**","GOLONGAN IB -IID","False","False",
"13","040190101","CUTI TAHUNAN/PANJANG","False","False",
"13","040190102","PAKAIAN KERJA","False","False",
"13","040190103","ASURANSI KECELAKAAN DIRI/MOLES","False","False",
"13","040190104","JAMSOSTEK","False","False",
"13","040190105","DAPENBUN","False","False",
"13","040190106","DETASERING","False","False",
"13","040190107","TUNJANGAN PPH","False","False",
