"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","001","02","02","154010000","","","Pembayaran Gaji Bersih Bulan Nopember 2016 Kepada Karyawan Pimpinan.","20661437","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00047","30-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","SETORAN KSU","100000000","001","02","02","080010300","","","Pengeluaran/penyetoran KSU Bulan Desember 2016 dari Kebun Purbasari.","12350000","0","K006","31-12-2016 00:00:00","arifin","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","002","02","02","154020200","","","- Karpel I Administrasi.","28002694","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","003","02","10","154021000","","","- Karpel I Afdeling Purbasari.","9447469","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","004","02","11","154021100","","","- Karpel I Afdeling Kiararoa.","9724378","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","005","02","12","154021200","","","- Karpel I Afdeling Srikandi.","8953144","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","006","02","14","154021400","","","- Karpel I Afdeling Citawa.","11478707","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","007","02","20","154022000","","","- Karpel I Pabrik Purbasari.","25337892","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","008","02","21","154022100","","","- Karpel I Pabrik Pasir Junghuhn.","12097550","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00002","09-12-2016 00:00:00","A.TUHANDA","PURBASARI","GAJI","100000000","009","02","30","154023000","","","- Karpel I Teknik.","16076352","0","K001","07-12-2016 09:26:31","nandang","","01",
"13","KK","KAS","KAS201612-00006","09-12-2016 00:00:00","SUHARTONO","PURBASARI","UPAH","100000000","002","02","30","154043000","","","KLM.Teknik.","41905640","0","K001","07-12-2016 09:56:45","nandang","","01",
"13","BT","BNK","BNK201612-00015","23-12-2016 00:00:00","KANTOR PUSAT","BANDUNG","REMISE","110000002","003","02","02","080010100","","","Pembayaran Jubilium Triw I/2015 Rp 113.845.000,- Tj.Cuti Periode Bulan Februari 2015 Rp 71.553.500,-","185398500","0","T004","28-12-2016 00:00:00","nandang","","02",
"13","KT","KAS","KAS201612-00046","30-12-2016 00:00:00","PENGGARAP","PURBASARI","SETORAN KSU","100000000","001","02","02","970020200","","","Terima setoran KSU dari Penggarap Bulan Desember 2016.","12350000","0","T005","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00045","30-12-2016 00:00:00","A.TUHANDA","PURBASARI","PEMB.SANTUNAN","100000000","001","02","02","080010100","","","Pembayaran santunan kematian karyawan.","8578375","0","K010","31-12-2016 00:00:00","yayatwh","","01",
"13","BK","BNK","BNK201612-00020","27-12-2016 00:00:00","CV.KIDANG KENCANA","BANDUNG","PEMB.BRG.BHN","110000002","001","02","02","150120210","","","Pembayaran Brg.Bhn Akselarasi Bulan Nopember 2016 Kepada CV.Kidang Kencana Bandung.Bdsk AU 53 No : 44/XI/2016.","44640200","0","K001","28-12-2016 08:39:39","nandang","","02",
"13","BK","BNK","BNK201612-00021","27-12-2016 00:00:00","CV.KARYA MULYA PRATAMA","BANDUNG","PEMB.BRG.BHN","110000002","001","02","02","150120203","","","Pembayaran Brg.Bhn Akselarasai Bulan Nopember 2016 Kepada CV.Karya Mulya Pratama Bandung.Bdsk AU 53 No : 33,34,35,46,75/XI/2016","44550330","0","K001","28-12-2016 08:43:29","nandang","","02",
"13","BK","BNK","BNK201612-00022","27-12-2016 00:00:00","CV.LISARA PERSADA (DHANNY SYAIFUL ANWAR)","BANDUNG","PEMB.BRG.BHN","110000002","001","02","02","150120336","","","Pembayaran Brg.Bhn Akselarasi Bulan Nopember 2016 Kepada CV.Lisara Persada Bandung Bdsk.AU 53 No : 19,20,21,36/XI/2016.","14678950","0","K001","28-12-2016 08:47:05","nandang","","02",
"13","BK","BNK","BNK201612-00023","27-12-2016 00:00:00","KOPKAR PURBASARI","PURBASARI","PEMB.BRG.BHN","110000002","001","02","02","150120216","","","Pembayaran Brg.Bhn Akselarasai Bulan Nopember 2016 Kepada Kopkar Purbasari.Bdsk.AU 53 No : 30/XI/2016.","25602500","0","K001","28-12-2016 08:55:08","nandang","","02",
"13","BK","BNK","BNK201612-00024","27-12-2016 00:00:00","PERK.PURBASARI","PURBASARI","PENGAMBILAN REMISE","110000002","001","02","02","198000000","","","Pengambilan Remise Modal Kerja dari Bank BRI Cab.Majalaya Untuk Pembayaran Jubilium & Tj.Cuti.","185398500","0","K005","28-12-2016 08:58:06","nandang","","02",
"13","KT","KAS","KAS201612-00048","31-12-2016 00:00:00","KAS PURBASARI","PURBASARI","PENERIMAAN SELISIH","100000000","001","02","02","970170100","","","Penerimaan selisih/pembulatan uang kas dari hasil pemeriksaan PIK pada Tgl.31 Desember 2016.","7","0","T010","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00035","17-12-2016 00:00:00","TERLAMPIR","PURBASARI","BIAYA METERAI","100000000","001","02","02","426020000","","","Biaya pemakaian meterai Bagian Pengadaan barang dan jasa.","550000","0","K001","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00026","15-12-2016 00:00:00","A.TUHANDA","PURBASARI","PEMB.JUBILIUM","100000000","001","02","02","080010100","","","Pembayaran penghargaan masa pengabdian 20,25,30 dan 35 tahun Triwulan I tahun 2014.","22195000","0","K005","31-12-2016 00:00:00","yayatwh","","02",
"13","KK","KAS","KAS201612-00022","13-12-2016 00:00:00","A.TUHANDA","PURBASARI","PEMB.PENSIUN","100000000","001","02","02","151040109","","","Pembayaran upah pensiun Bulan Nopember 2016.","2268700","0","K010","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00024","14-12-2016 00:00:00","YAYAT WH","PURBASARI","PREMI LM","100000000","001","02","02","426040000","","","Pembayaran premi pembuatan/penyusunan LM Bulan Agustus,September dan Oktober 2016.","4350000","0","K001","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00025","15-12-2016 00:00:00","A.TUHANDA","PURBASARI","BIAYA TAMU","100000000","001","02","02","406040000","","","Biaya akomodasi dan jamuan dalam rangka kunjungan tamu.","4894500","0","K001","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00038","20-12-2016 00:00:00","TERLAMPIR","PURBASARI","PEM.BPD","100000000","001","02","02","200020000","D1337QM","","Pembayaran BPD kepada pengemudi kendaraan dinas Bulan Nopember 2016 Kend.D 1337 QM.","429000","0","K001","31-12-2016 00:00:00","yayatwh","","01",
"13","KK","KAS","KAS201612-00028","15-12-2016 00:00:00","A.TUHANDA","PURBASARI","PEMB.CUTI","100000000","001","02","02","157040000","","","Pembayaran Tj.Cuti tahunan/panjang periode Bulan Januari 2015","28748500","0","K001","31-12-2016 00:00:00","yayatwh","","01",
