"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"71","11-01-2017 00:00:00","A53201701-V00005","A53201701-00005","31","","300120000","01200476","","","B","Penerimaan 680 PETI KAYU","0","4862000","0","TUP",
"71","18-01-2017 00:00:00","A53201701-V00018","A53201701-00018","31","","300160000","01600451","","","B","Penerimaan 144 LAKBAN BENING","0","1469520","0","TUP",
"71","02-01-2017 00:00:00","A53201701-V00002","A53201701-00002","00","","300010000","00100008","","","B","Penerimaan 1500 AMONIAK LIQUIDA 10%","0","3750000","0","TUP",
"71","14-01-2017 00:00:00","A53201701-V00013","A53201701-00013","00","","300010000","00100008","","","B","Penerimaan 1875 AMONIAK LIQUIDA 10%","0","4687500","0","TUP",
"71","26-01-2017 00:00:00","A53201701-V00020","A53201701-00020","00","","300010000","00100008","","","B","Penerimaan 1000 AMONIAK LIQUIDA 10%","0","2500000","0","TUP",
"71","25-01-2017 00:00:00","A53201701-V00019","A53201701-00019","00","","300010000","00100081","","","B","Penerimaan 3013 NICOLA","0","23862960","0","TUP",
"71","02-01-2017 00:00:00","A58201701-V00004","A58201701-00004","00","02","196190000","00202702","","","B","Pemakaian 47 ETHREL 10 LS Utk.Afdeling/Bagian Kantor Induk","47","3290000","0","TUP",
"71","13-01-2017 00:00:00","A58201701-V00120","A58201701-00120","00","02","196190000","00100007","","","B","Pemakaian 750 AMONIAK LIQUIDA 25% Utk.Afdeling/Bagian Kantor Induk","750","4687500","0","TUP",
"71","13-01-2017 00:00:00","A58201701-V00121","A58201701-00121","00","02","196190000","00202702","","","B","Pemakaian 47 ETHREL 10 LS Utk.Afdeling/Bagian Kantor Induk","47","3290000","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00165","A58201701-00165","00","02","196190000","00202702","","","B","Pemakaian 60 ETHREL 10 LS Utk.Afdeling/Bagian Kantor Induk","60","4200000","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00165","A58201701-00165","00","02","196190000","00202710","","","B","Pemakaian 107 MINYAK SAWIT Utk.Afdeling/Bagian Kantor Induk","107","856000","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00165","A58201701-00165","00","02","196190000","00202711","","","B","Pemakaian 71 VASELINE Utk.Afdeling/Bagian Kantor Induk","71","4245844,93670886","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00258","A58201701-00258","31","02","080026800","00202347","","","B","Pemakaian 2 ROVRAL 500 WP Utk.Afdeling/Bagian Kantor Induk","2","1370000","0","TUP",
"71","26-01-2017 00:00:00","A58201701-V00325","A58201701-00325","00","02","196190000","00100007","","","B","Pemakaian 400 AMONIAK LIQUIDA 25% Utk.Afdeling/Bagian Kantor Induk","400","2500000","0","TUP",
"71","02-01-2017 00:00:00","A58201701-V00019","A58201701-00019","00","02","196190000","00100007","-","","B","Pemakaian 600 AMONIAK LIQUIDA 25% Utk.Afdeling/Bagian Kantor Induk","600","3750000","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00258","A58201701-00258","31","02","080026800","01200664","","","B","Pemakaian 72000 STIKER LABEL PISANG Utk.Afdeling/Bagian Kantor Induk","72000","1873790,3219685","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00258","A58201701-00258","31","02","080026800","01200717","","","B","Pemakaian 36000 STIKER ""CIBIRU"" Utk.Afdeling/Bagian Kantor Induk","36000","936000","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00258","A58201701-00258","31","02","080026800","00202913","","","B","Pemakaian 4 ETHREEL 480 PGR Utk.Afdeling/Bagian Kantor Induk","4","2018310,54266399","0","TUP",
"71","30-01-2017 00:00:00","A58201701-V00372","A58201701-00372","00","10","602120000","00100008","1997","0018","B","Pemakaian 23 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","23","57500","0","TUP",
"71","30-01-2017 00:00:00","A58201701-V00372","A58201701-00372","00","10","608060000","00100008","0000","","B","Pemakaian 22 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","22","55000","0","TUP",
"71","30-01-2017 00:00:00","A58201701-V00373","A58201701-00373","00","10","602120000","00100008","1997","0005","B","Pemakaian 21 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","21","52500","0","TUP",
"71","30-01-2017 00:00:00","A58201701-V00373","A58201701-00373","00","10","608060000","00100008","0000","","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","20","50000","0","TUP",
"71","31-01-2017 00:00:00","A58201701-V00375","A58201701-00375","00","10","602120000","00100008","1990","0010","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","20","50000","0","TUP",
"71","31-01-2017 00:00:00","A58201701-V00375","A58201701-00375","00","10","608060000","00100008","0000","","B","Pemakaian 26 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","26","65000","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00263","A58201701-00263","00","10","602120000","00100008","1998","0022","B","Pemakaian 22 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","22","55000","0","TUP",
"71","23-01-2017 00:00:00","A58201701-V00263","A58201701-00263","00","10","608060000","00100008","0000","","B","Pemakaian 21 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","21","52500","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00075","A58201701-00075","00","10","602120000","00202706","2009","0003","B","Pemakaian 7 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling I / Ciawitali","7","123817,204918033","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00153","A58201701-00153","00","10","602120000","00202706","2005","0001","B","Pemakaian 14 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling I / Ciawitali","14","247634,414655943","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00153","A58201701-00153","00","10","602120000","00202706","2005","0002","B","Pemakaian 6 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling I / Ciawitali","6","106129,034852547","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00153","A58201701-00153","00","10","602120000","00202706","2009","0004","B","Pemakaian 8 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling I / Ciawitali","8","141505,379803396","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00153","A58201701-00153","00","10","602120000","00202706","1990","0010","B","Pemakaian 8 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling I / Ciawitali","8","141505,379803396","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00167","A58201701-00167","00","10","601050200","00202130","2011","0029","B","Pemakaian 17 HERBISIDA GLYPHOSATE VINO Utk.Afdeling/Bagian Afdeling I / Ciawitali","17","646000","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00078","A58201701-00078","00","10","608060000","00100008","0000","","B","Pemakaian 15 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","15","37500","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00078","A58201701-00078","00","10","602120000","00100008","1986","0012","B","Pemakaian 15 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling I / Ciawitali","15","37500","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00080","A58201701-00080","00","11","608060000","00100008","0000","","B","Pemakaian 15 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","15","37500","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00080","A58201701-00080","00","11","602120000","00100008","1998","0015","B","Pemakaian 18 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","18","45000","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00072","A58201701-00072","00","11","608060000","00100008","0000","","B","Pemakaian 18 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","18","45000","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00073","A58201701-00073","00","11","602120000","00202706","2009","0018","B","Pemakaian 0.5 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","0,5","8844,08548707753","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00074","A58201701-00074","00","11","602130000","01600464","","0005","B","Pemakaian 500 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Ii / Selagedang","500","442500","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00074","A58201701-00074","00","11","602130000","01600464","","0004","B","Pemakaian 1500 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Ii / Selagedang","1500","1327500","0","TUP",
"71","08-01-2017 00:00:00","A58201701-V00067","A58201701-00067","00","11","602120000","00100008","2008","0011","B","Pemakaian 15 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","15","37500","0","TUP",
"71","08-01-2017 00:00:00","A58201701-V00067","A58201701-00067","00","11","608060000","00100008","0000","","B","Pemakaian 18 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","18","45000","0","TUP",
"71","08-01-2017 00:00:00","A58201701-V00066","A58201701-00066","00","11","602120000","00100008","1986","0008","B","Pemakaian 12 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","12","30000","0","TUP",
"71","08-01-2017 00:00:00","A58201701-V00066","A58201701-00066","00","11","602120000","00100008","1990","0009","B","Pemakaian 12 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","12","30000","0","TUP",
"71","08-01-2017 00:00:00","A58201701-V00068","A58201701-00068","00","11","602120000","00202706","2003","0005","B","Pemakaian 2.7 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","2,7","47758,0776173285","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00070","A58201701-00070","00","11","602120000","00202706","2003","0005","B","Pemakaian 2.7 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","2,7","47758,078125","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00071","A58201701-00071","00","11","602120000","00100008","2009","0017","B","Pemakaian 12 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","12","30000","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00071","A58201701-00071","00","11","608060000","00100008","0000","","B","Pemakaian 18 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Ii / Selagedang","18","45000","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00073","A58201701-00073","00","11","602120000","00202706","1986","0006","B","Pemakaian 0.6 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","0,6","10612,902584493","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00073","A58201701-00073","00","11","602120000","00202706","2008","0011","B","Pemakaian 2.6 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","2,6","45989,2445328032","0","TUP",
"71","09-01-2017 00:00:00","A58201701-V00073","A58201701-00073","00","11","602120000","00202706","2008","0012","B","Pemakaian 2.8 ETHREL AIR 2.5 % Utk.Afdeling/Bagian Afdeling Ii / Selagedang","2,8","49526,8787276342","0","TUP",
"71","19-01-2017 00:00:00","A58201701-V00186","A58201701-00186","00","12","602120000","00202708","1998","0026","B","Pemakaian 9.28 ETHREL SAWIT 2.5 % Utk.Afdeling/Bagian Afdeling Iii / Mandaling","9,28","287388,636696756","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0001","B","Pemakaian 1000 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","1000","885000","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0002","B","Pemakaian 1000 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","1000","885000","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0012","B","Pemakaian 1500 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","1500","1327500","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0026","B","Pemakaian 1500 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","1500","1327500","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0010","B","Pemakaian 300 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","300","265500","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00109","A58201701-00109","00","12","602130000","01600464","","0007","B","Pemakaian 700 MANGKOK PLASTIK 500 CC Utk.Afdeling/Bagian Afdeling Iii / Mandaling","700","619500","0","TUP",
"71","12-01-2017 00:00:00","A58201701-V00118","A58201701-00118","00","12","602120000","00100008","1990","0017","B","Pemakaian 19 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","19","47500","0","TUP",
"71","03-01-2017 00:00:00","A58201701-V00026","A58201701-00026","00","12","602120000","00100008","1996","0014","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","03-01-2017 00:00:00","A58201701-V00026","A58201701-00026","00","12","602120000","00100008","1997","0015","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","03-01-2017 00:00:00","A58201701-V00026","A58201701-00026","00","12","602120000","00100008","1990","0016","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","20-01-2017 00:00:00","A58201701-V00228","A58201701-00228","00","12","602120000","00202708","1998","0011","B","Pemakaian 4.05 ETHREL SAWIT 2.5 % Utk.Afdeling/Bagian Afdeling Iii / Mandaling","4,05","125422,846404216","0","TUP",
"71","20-01-2017 00:00:00","A58201701-V00228","A58201701-00228","00","12","602120000","00202708","2001","0012","B","Pemakaian 8.72 ETHREL SAWIT 2.5 % Utk.Afdeling/Bagian Afdeling Iii / Mandaling","8,72","270046,227319694","0","TUP",
"71","20-01-2017 00:00:00","A58201701-V00229","A58201701-00229","00","12","601050200","00202130","1998","0026","B","Pemakaian 6.52 HERBISIDA GLYPHOSATE VINO Utk.Afdeling/Bagian Afdeling Iii / Mandaling","6,52","247760","0","TUP",
"71","20-01-2017 00:00:00","A58201701-V00230","A58201701-00230","00","12","608060000","00100008","0000","","B","Pemakaian 7 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7","17500","0","TUP",
"71","21-01-2017 00:00:00","A58201701-V00233","A58201701-00233","00","12","608060000","00100008","0000","","B","Pemakaian 7 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7","17500","0","TUP",
"71","21-01-2017 00:00:00","A58201701-V00234","A58201701-00234","00","12","601050200","00202130","1998","0026","B","Pemakaian 7.5 HERBISIDA GLYPHOSATE VINO Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7,5","285000","0","TUP",
"71","22-01-2017 00:00:00","A58201701-V00249","A58201701-00249","00","12","601050200","00202130","1998","0026","B","Pemakaian 7.5 HERBISIDA GLYPHOSATE VINO Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7,5","285000","0","TUP",
"71","19-01-2017 00:00:00","A58201701-V00187","A58201701-00187","00","12","602120000","00202708","1996","0014","B","Pemakaian 5.83 ETHREL SAWIT 2.5 % Utk.Afdeling/Bagian Afdeling Iii / Mandaling","5,83","180546,972588297","0","TUP",
"71","19-01-2017 00:00:00","A58201701-V00187","A58201701-00187","00","12","602120000","00202708","1998","0026","B","Pemakaian 9.28 ETHREL SAWIT 2.5 % Utk.Afdeling/Bagian Afdeling Iii / Mandaling","9,28","287388,663056501","0","TUP",
"71","19-01-2017 00:00:00","A58201701-V00188","A58201701-00188","00","12","601050200","00202130","1998","0026","B","Pemakaian 7.5 HERBISIDA GLYPHOSATE VINO Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7,5","285000","0","TUP",
"71","16-01-2017 00:00:00","A58201701-V00156","A58201701-00156","00","12","608060000","00100008","0000","","B","Pemakaian 7 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","7","17500","0","TUP",
"71","15-01-2017 00:00:00","A58201701-V00143","A58201701-00143","00","12","602120000","00100008","1998","0026","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","15-01-2017 00:00:00","A58201701-V00144","A58201701-00144","00","12","602120000","00100008","1999","0001","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","06-01-2017 00:00:00","A58201701-V00042","A58201701-00042","00","12","602120000","00100008","1990","0016","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","06-01-2017 00:00:00","A58201701-V00042","A58201701-00042","00","12","602120000","00100008","1990","0017","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","06-01-2017 00:00:00","A58201701-V00041","A58201701-00041","00","12","602120000","00100008","1997","0008","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","06-01-2017 00:00:00","A58201701-V00041","A58201701-00041","00","12","602120000","00100008","2003","0010","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
"71","06-01-2017 00:00:00","A58201701-V00045","A58201701-00045","00","12","602120000","00100008","2006","0007","B","Pemakaian 20 AMONIAK LIQUIDA 10% Utk.Afdeling/Bagian Afdeling Iii / Mandaling","20","50000","0","TUP",
