"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK",
"71","KK","KAS","KAS201701-00009","09-01-2017 00:00:00","Sdr.Wawan Setiawan SP","Cibungur","Gaji","100000000","001","00","10","154031000","","","Pembayaran Gaji Karyawan Afd I Bulan Desember 2016.Unsur Pelaksana II","74383404","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00044","11-01-2017 00:00:00","Sdr.Agus Suwanda","Cibungur","Lain-lain","100000000","001","00","02","157070000","","","Biaya Jamuan Tamu Pelatihan (Tim Getas,QC I dan Kanpus) Tgl.17 s.d 19 Nopember 2016.Kwitansi terlampir","8500000","0","K002","11-01-2017 08:21:39","ferry","","01",
"71","KK","KAS","KAS201701-00051","12-01-2017 00:00:00","Sdr.Ayi Rachmat","Cibungur","Lain lain","100000000","001","00","02","157070000","","","Biaya Jamuan Intel Kodim Tgl.18 Nopember 2016.Kwitansi terlampir","200000","0","K002","12-01-2017 08:28:55","ferry","","01",
"71","KK","KAS","KAS201701-00011","09-01-2017 00:00:00","Sdr.Hilman S.Hadhie","Mandaling","Gaji","100000000","001","00","12","154031200","","","Pembayaran Gaji Karyawan Afd III Bulan Desember 2016.Unsur Pelaksana II","49825637","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00012","09-01-2017 00:00:00","Sdr.Dindin Burhanudin","Artana","Gaji","100000000","001","00","13","154031300","","","Pembayaran Gaji Karyawan Afd IV Bulan Desember 2016.Unsur Pelaksana II","1791714","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KT","KAS","SALDO AWAL","01-01-2017 00:00:00","KAS","","","100000000","001","","","","","","","278203242","0","","06-01-2017 07:47:50","TUTUP_BUKU","","01",
"71","KT","KAS","SALDO AWAL","01-01-2017 00:00:00","KAS","","","100000000","001","","","","","","","-276506342","0","","06-01-2017 07:47:50","TUTUP_BUKU","","02",
"71","KT","MDR","SALDO AWAL","01-01-2017 00:00:00","BANK MANDIRI","","","110000001","001","","","","","","","1029932","0","","06-01-2017 07:47:50","TUTUP_BUKU","","01",
"71","KT","BRI","SALDO AWAL","01-01-2017 00:00:00","BANK BRI","","","110000002","001","","","","","","","-218649707","0","","06-01-2017 07:47:50","TUTUP_BUKU","","01",
"71","KT","BRI","SALDO AWAL","01-01-2017 00:00:00","BANK BRI","","","110000002","001","","","","","","","220164000","0","","06-01-2017 07:47:50","TUTUP_BUKU","","02",
"71","KK","KAS","KAS201701-00035","09-01-2017 00:00:00","Sdr.Irwansyah","Newu","Upah","100000000","001","31","15","154041500","","","Pembayaran Upah KLM Afd VI Bulan Desember 2016.Daftar terlampir","7820176","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00032","09-01-2017 00:00:00","Sdr.Irwansyah","Newu","Upah","100000000","001","31","14","154041400","","","Pembayaran Upah KLM Afd V Bulan Desember 2016.Daftar terlampir","11171680","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00036","09-01-2017 00:00:00","Sdr.Irwansyah","Newu","Upah","100000000","001","31","15","154041500","","","Pembayaran Upah Pemeliharaan Afd VI Bulan Desember 2016.Daftar terlampirBeban Eksploitasi","64742500","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00037","09-01-2017 00:00:00","Sdr.Ayi Rachmat","Cibungur","Upah","100000000","001","00","02","154040200","","","Pembayaran Upah KLM Kantor Induk Bulan Desember 2016.Daftar terlampir","23704752","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00038","09-01-2017 00:00:00","Sdr.Amir","Cibungur","Upah","100000000","001","00","21","154042100","","","Pembayaran Upah KLM Pabrik RSS Bulan Desember 2016.Daftar terlampir","49657228","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00036","09-01-2017 00:00:00","Sdr.Irwansyah","Newu","Upah","100000000","002","31","15","154111500","","","Jasa Anemer","4531975","0","K099","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00033","09-01-2017 00:00:00","Sdr.Irwansayh","Newu","Upah","100000000","001","31","14","154041400","","","Pembayaran Upah Pemeliharaan Afd V Bulan Desember 2016.Daftar terlampirBeban Ekploitasi","50783750","0","K001","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00033","09-01-2017 00:00:00","Sdr.Irwansayh","Newu","Upah","100000000","002","31","14","154111400","","","Jasa Anemer","3554863","0","K099","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00033","09-01-2017 00:00:00","Sdr.Irwansayh","Newu","Upah","100000000","003","31","14","160000001","","","PPh Anemer","-88872","0","K099","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00036","09-01-2017 00:00:00","Sdr.Irwansyah","Newu","Upah","100000000","003","31","15","160000001","","","PPh Anemer","-113299","0","K099","06-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00073","14-01-2017 00:00:00","Sdr.Heriyanto","Cibungur","UM Brg","100000000","001","00","11","146020000","","","Uang Muka Pembayaran Kerja Kontan Sadap Borong Murni Afd I Tgl.05 Januari 2017.Daftar terlampir","3103596","0","K006","14-01-2017 00:00:00","ferry","","01",
"71","KK","KAS","KAS201701-00047","11-01-2017 00:00:00","Sdr.Agus Suwanda","Cibungur","Lain lain","100000000","004","00","02","157070000","","","Biaya Operasional di TM Karet Lancuran Afd I Bulan Nopember 2016.Kwitansi terlampir","300000","0","K002","11-01-2017 08:59:34","ferry","","01",
"71","KK","KAS","KAS201701-00047","11-01-2017 00:00:00","Sdr.Agus Suwanda","Cibungur","Lain lain","100000000","005","31","02","157070000","","","Biaya Operasional Panen Pisang di Afd IV Bulan Nopember 2016.Kwitansi terlampir","325000","0","K002","11-01-2017 08:59:34","ferry","","01",
"71","KK","KAS","KAS201701-00047","11-01-2017 00:00:00","Sdr.Agus Suwanda","Cibungur","Lain lain","100000000","006","31","02","157070000","","","Biaya Operasional di TM Pisang Afd V Bulan Nopember 2016.Kwitansi terlampir","325000","0","K002","11-01-2017 08:59:34","ferry","","01",
"71","KK","KAS","KAS201701-00047","11-01-2017 00:00:00","Sdr.Agus Suwanda","Cibungur","Lain lain","100000000","007","00","02","157070000","","","Biaya Operasional Panen Karet di Afd II Bulan Nopember 2016.Kwitansi terlampir","250000","0","K002","11-01-2017 08:59:34","ferry","","01",
"71","KK","KAS","KAS201701-00050","11-01-2017 00:00:00","Sdr.Ayi Rachmat","Cibungur","Lain lain","100000000","001","00","02","157070000","","","Biaya Jamuan Tamu Polsek Wr.Kiara Tgl.07 Nopember 2016.Kwitansi terlampir","150000","0","K002","11-01-2017 09:50:31","ferry","","01",
"71","KK","KAS","KAS201701-00050","11-01-2017 00:00:00","Sdr.Ayi Rachmat","Cibungur","Lain lain","100000000","002","00","02","157070000","","","Biaya Jamuan Tamu Koramil Wr.Kiara Tgl.07 Nopember 2016.Kwitansi terlampir","150000","0","K002","11-01-2017 09:50:31","ferry","","01",
