"norek","KodeBarang","NamaBarang","KodeSatuan","NamaSatuan","InitSatuan","JenisBarang",
"300060000","00602188","SAMBUNGAN TWICE","03","BUAH","BH","",
"300060000","00602189","LAMPU XL 45 WATT","03","BUAH","BH","",
"300060000","00602190","LAMPU SOROT LED + BOX 50 WATT","14","SET","SET","",
"300060000","00602191","DIODA BRIDGE 60 A","03","BUAH","BH","",
"300060000","00602192","KONTAKTOR ABB A9-30-10 NO","03","BUAH","BH","",
"300060000","00602193","KONTAKTOR ABB A9-30-10 NC","03","BUAH","BH","",
"300060000","00602194","KONTAKTOR ABB A12-30-10 NO","03","BUAH","BH","",
"300060000","00602195","KONTAKTOR ABB A12-30-10 NC","03","BUAH","BH","",
"300060000","00602196","RESIN ELECTRIKAL","01","KILOGRAM","KG","",
"300060000","00602197","OVER LOAD THN 60","03","BUAH","BH","",
"300060000","00602198","OVER LOAD THN 25","03","BUAH","BH","",
"300060000","00602199","OVER LOAD THN 21","03","BUAH","BH","",
"300060000","00602200","KABEL NYM 4 X 1,5 MM","04","METER","MTR","",
"300060000","00602201","NFB 50 A","03","BUAH","BH","",
"300060000","00602202","ZIKRING 200 A","03","BUAH","BH","",
"300060000","00602203","ZIKRING 400 A","03","BUAH","BH","",
"300060000","00602204","KONTAKTOR SN 95","03","BUAH","BH","",
"300060000","00602205","ISOLATOR BATANG 1/2 X 10 CM","21","BATANG","BTG","",
"300060000","00602206","STEKER BULAT KERAMIK","03","BUAH","BH","",
"300060000","00602207","ADAPTOR H2 313 AS 60 MM","03","BUAH","BH","",
"300060000","00602208","ADAPTOR 2312 UK. 50 MM","03","BUAH","BH","",
"300060000","00602209","ADAPTOR 2315 UK. 65 MM","03","BUAH","BH","",
"300060000","00602210","STANG SKUN UK. 10-20","09","UNIT","UNIT","",
"300060000","00602211","CONTACTOR ABB TYPE A95-30/220 V","03","BUAH","BH","",
"300060000","00602212","ADAPTOR HE 315","03","BUAH","BH","",
"300060000","00602213","CONTACTOR ABB TYPE A145-30/220 V","03","BUAH","BH","",
"300060000","00602214","KABEL NYY 1 X 240","04","METER","MTR","",
"300060000","00602215","FUSE FAIRU RELAY","03","BUAH","BH","",
"300060000","00602216","OHM SAKLAR 630 A","09","UNIT","UNIT","",
"300060000","00602217","LAMPU LED 10 W","03","BUAH","BH","",
"300060000","00602218","CONTACTOR NFB ABB KAP.160 A","03","BUAH","BH","",
"300060000","00602219","CONTACTOR A 115 KAP. 160 A","03","BUAH","BH","",
"300060000","00602220","LAMPU LED 14 W","03","BUAH","BH","",
"300060000","00602221","LAMPU LED ALTECO 9 W","03","BUAH","BH","",
"300060000","00602222","LAMPU LED ALTECO 12 W","03","BUAH","BH","",
"300060000","00602223","LAMPU LED PHILIP 9 W","03","BUAH","BH","",
"300060000","00602224","LAMPU LED PHILIP10 W","03","BUAH","BH","",
"300060000","00602225","LAMPU LED PHILIP 12 W","03","BUAH","BH","",
"300060000","00602226","LAMPU LED PHILIP 14 W","03","BUAH","BH","",
"300060000","00602227","LAMPU LED KEIBU 9 W","03","BUAH","BH","",
"300060000","00602228","LAMPU LED KEIBU 12 W","03","BUAH","BH","",
"300060000","00602229","LAMPU LED KEIBU 14 W","03","BUAH","BH","",
"300060000","00602230","STICK GROUND","03","BUAH","BH","",
"300060000","00602231","SAKLAR PUSH BUTTON ON OFF","03","BUAH","BH","",
"300060000","00602232","CETAKAN WEKEL","03","BUAH","BH","",
"300060000","00602233","OVER LOAD THN 20-15 AMPER","03","BUAH","BH","",
"300060000","00602234","KAPASITOR BANK 15,1 KVARH/440 V/19,8 A","03","BUAH","BH","",
"300060000","00602235","AMPERE METER DIGITAL TYPE MT4W SERIES","03","BUAH","BH","",
"300060000","00602236","TABUNG TL 40 W","03","BUAH","BH","",
"300060000","00602237","TABUNG TL 20 W","03","BUAH","BH","",
"300060000","00602238","KAPASITOR 10MF 220VOLT","03","BUAH","BH","",
"300060000","00602239","WEKEL DRAT 0,1MM","01","KILOGRAM","KG","",
"300060000","00602240","CUBICLE TYPE INCOMING (LBS ) MG VERCORS M6","09","UNIT","UNIT","",
"300060000","00602241","CUBICLE TYPE OUTGOING (TP ) MG VERCORS M6","09","UNIT","UNIT","",
"300060000","00602242","BUSBAR CUBICLE 630 A","14","SET","SET","",
"300060000","00602243","MV FUSE 31,5 A","03","BUAH","BH","",
"300060000","00602244","INDOOR TERMINATION 3 X 35 MM","14","SET","SET","",
"300060000","00602245","CHASSING","09","UNIT","UNIT","",
"300060000","00602246","ANGKERLAK SPRAY","12","KALENG","KLG","",
"300060000","00602247","SAKLAR CAM SWICH","03","BUAH","BH","",
"300060000","00602248","PIPA+ELBO U.12""","03","BUAH","BH","",
"300060000","00602249","ISOLASI SLANG 8","03","BUAH","BH","",
"300060000","00602250","PITTING LAMPU HPLN 250 W","03","BUAH","BH","",
"300060000","00602251","UCP 213","03","BUAH","BH","",
"300060000","00602252","UCP 215","03","BUAH","BH","",
"300060000","00602253","NFB 3 PHASE 100 AMPER 006","03","BUAH","BH","",
"300060000","00602254","NCB 3 PHASE 100 AMPER","03","BUAH","BH","",
"300060000","00602255","PRESPAN MIKA 0,50 MM","06","LEMBAR","LBR","",
"300060000","00602256","RED INSULATING","01","KILOGRAM","KG","",
"300060000","00602257","LAMPU INDIKATOR WARNA MERAH","03","BUAH","BH","",
"300060000","00602258","LAMPU INDIKATOR WARNA KUNING","03","BUAH","BH","",
"300060000","00602259","LAMPU INDIKATOR WARNA HIJAU","03","BUAH","BH","",
"300060000","00602260","KONTACTOR ABB 65-75 A","03","BUAH","BH","",
"300060000","00602261","OVERLOAD 4 AMPER","03","BUAH","BH","",
"300060000","00602262","LAMPU LED KEPALA","03","BUAH","BH","",
"300060000","00602263","SENTER CASH","03","BUAH","BH","",
"300060000","00602264","LAMPU LED 18 W","03","BUAH","BH","",
"300060000","00602265","SIRKULASI AIR 220V","03","BUAH","BH","",
"300060000","00602266","RESIN+PENGERAS","01","KILOGRAM","KG","",
"300060000","00602267","CONTACTOR ABB AX09-30-10 (1NO) 9A 22OV","03","BUAH","BH","",
"300060000","00602268","CONTACTOR ABB AX12-30-10 (1NO) 12A 220V","03","BUAH","BH","",
"300060000","00602269","CONTACTOR ABB AX18-30-10 (1NO) 18A 220V","03","BUAH","BH","",
"300060000","00602270","CONTACTOR ABB AX40-30-10 (1NO) 40A 220V","03","BUAH","BH","",
"300060000","00602271","CONTACTOR ABB AX65-30-11 (1NO+1NC) 65A 220V","03","BUAH","BH","",
"300060000","00602272","CONTACTOR ABB AX95-30-11 (1NO+1NC) 95A 220V","03","BUAH","BH","",
"300060000","00602273","THERMAL OVERLOAD TA25DU-(0.63-1.0 A)","03","BUAH","BH","",
"300060000","00602274","THERMAL OVERLOAD TA25DU-(2.8-4.0 A)","03","BUAH","BH","",
"300060000","00602275","THERMAL OVERLOAD TA25DU-(4.5-6.5 A)","03","BUAH","BH","",
"300060000","00602276","THERMAL OVERLOAD TA25DU-(6.0-8.5 A)","03","BUAH","BH","",
"300060000","00602277","THERMAL OVERLOAD TA25DU-(10-14 A)","03","BUAH","BH","",
"300060000","00602278","THERMAL OVERLOAD TA25DU-(13-19 A)","03","BUAH","BH","",
"300060000","00602279","THERMAL OVERLOAD TA25DU-(36-52 A)","03","BUAH","BH","",
"300060000","00602280","MCB ABB S 201-C 50-50 A 1P 10KA","03","BUAH","BH","",
"300060000","00602281","CONTACT AUX CAL5X-11","03","BUAH","BH","",
"300060000","00602282","CONTACT AUX CA5X-01","03","BUAH","BH","",
"300060000","00602283","OVERLOAD THN 60/80A","03","BUAH","BH","",
"300060000","00602284","KABEL NYY 4X21/2MM","04","METER","MTR","",
"300060000","00602285","KABEL NYY 4X16MM","04","METER","MTR","",
"300060000","00602286","HOLDER ZIKRING 160A","14","SET","SET","",
"300060000","00602287","LAMPU MERCURY HPL T-PLUS 250 W 220 V","03","BUAH","BH","",
"300060000","00602288","FITTING MERCURY KECIL","03","BUAH","BH","",
"300060000","00602289","LAMPU EMERGENCY","03","BUAH","BH","",
"300060000","00602290","KONEKTOR SLANG Y KUNINGAN","03","BUAH","BH","",
"300060000","00602291","ADF H 315","03","BUAH","BH","",
"300060000","00602292","WAKEL DRAT Ø 0,8 MM SUPRAME","03","BUAH","BH","",
"300060000","00602293","BEARING 6309 ZZ","03","BUAH","BH","",
"300060000","00602294","BEARING 6209ZZ","03","BUAH","BH","",
"300060000","00602295","CONTRAKTOR SN-35 MITSUBISHI","03","BUAH","BH","",
"300060000","00602296","OVERLOAD 18 A","03","BUAH","BH","",
"300060000","00602297","ON-OFF NONC","03","BUAH","BH","",
"300060000","00602298","LAMPU INDICATOR MERAH-HIJAU","03","BUAH","BH","",
"300060000","00602299","LAMPU HPL  T+  400 WATT","03","BUAH","BH","",
"300070000","00700***","ALAT-ALAT KOMPUTER","","","","",
"300070000","00700001","AUTO SWITCH POWER","","","","",
"300070000","00700002","AUTOMATIC AIR IDEALIFE","","","","",
"300070000","00700003","EVA FAX RUIM FIKS WIRELESS","","","","",
"300070000","00700004","TP LINK USB WIFI","","","","",
"300070000","00700005","SDRM 356","","","","",
"300070000","00700006","SOCKET CPU","","","","",
"300070000","00700007","KEY BOARD","","","","",
"300070000","00700008","SCANNER CANON","","","","",
"300070000","00700009","SENSOR CONTINOUS LQ.2170","","","","",
"300070000","00700010","SWITCH OTOMATIS","","","","",
"300070000","00700011","UPS PASCAL PRO-500","","","","",
"300070000","00700012","KABEL POWER","","","","",
"300070000","00700013","UPS 600 C","","","","",
"300070000","00700014","UPS MERK.LAPPLACE 1000 W","","","","",
"300070000","00700015","KABEL MASTER","","","","",
"300070000","00700016","SPOOL MIX","","","","",
"300070000","00700017","CARD PRINTER","","","","",
"300070000","00700018","CARD READER","","","","",
"300070000","00700019","CAREN TRANSPORMENT","","","","",
"300070000","00700020","CARTRIDE EPSON LQ-2170/2180","","","","",
"300070000","00700021","CARTRIDGE HP NO.21 BLACK","","","","",
"300070000","00700022","CASING BLOWER","","","","",
"300070000","00700023","CD KOSONG VERBATIN/CD RW","","","","",
"300070000","00700024","CD MP3 PLAYER","","","","",
"300070000","00700025","CD RAM 512","","","","",
"300070000","00700026","CD ROM","","","","",
"300070000","00700027","CD ROOM BY MB","","","","",
"300070000","00700028","CD ROOM SAMSUNG 52 X","","","","",
"300070000","00700029","CD RW BLANK","","","","",
"300070000","00700031","CENOS/USB","","","","",
"300070000","00700032","CLEM BUSIH DRAT KIRI DIAMETER 70 MM","","","","",
"300070000","00700033","CONECTOR SMA RV","","","","",
"300070000","00700034","COOLING PIPE AC","","","","",
"300070000","00700035","CRANCASE BERING 608Z","","","","",
"300070000","00700036","DISK PARABOLA 7 1/2 FEET","","","","",
"300070000","00700037","DISKLAT","","","","",
"300070000","00700038","EQUALIZER","","","","",
"300070000","00700039","HARD DISK","","","","",
"300070000","00700040","HARD DISK/FLESDISC","","","","",
"300070000","00700041","HARD DISK 40 GB","","","","",
"300070000","00700042","HARD DISK MERK.SEAGATE","","","","",
"300070000","00700043","HEAD LQ. 2170","","","","",
"300070000","00700190","MODEM HSPA E.220","","","","",
"300070000","00700191","PC ACER ALL IN Z5761","","","","",
"300070000","00700192","DVR 4 CHANEL + TERA 1 GM","","","","",
"300070000","00700193","KOMPUTER","","","","",
"300070000","00700194","HEAD PRINTER -21","","","","",
"300070000","00700195","HEAD PRINTER -22","","","","",
"300070000","00700196","MODEM ADSL","","","","",
"300070000","00700197","MONITOR LCD","","","","",
"300070000","00700198","INK EPSON","","","","",
"300070000","00700199","DVD-R","","","","",
"300070000","00700200","PRINTER HP DESKJET D2466","","","","",
"300070000","00700201","TRACTOR ROLL LQ.2170","","","","",
"300070000","00700202","SOUND CARD","","","","",
"300070000","00700203","CONECTOR RJ 45","","","","",
"300070000","00700204","SWITCH HUB 5 PART","","","","",
"300070000","00700205","JARUM RINITKA","","","","",
"300070000","00700206","TC C.941","","","","",
"300070000","00700207","RST 86","","","","",
"300070000","00700208","COMPUTER LAPTOP","","","","",
"300070000","00700209","COOLER","","","","",
"300070000","00700210","ZERO POWER RAM","","","","",
"300070000","00700211","PLAY BACK","","","","",
"300070000","00700212","SOKET MIX","","","","",
"300070000","00700213","MAINBOARD","","","","",
"300070000","00700214","TRANSITOR B. 644","","","","",
"300070000","00700215","PROSESOR","","","","",
"300070000","00700216","MEMMORY DDR 256 PC.320 PCPRO","","","","",
"300070000","00700217","PLASDISK KONGSTONE","","","","",
"300070000","00700218","PLATEN LOCK","","","","",
"300070000","00700219","TRANMITER VQ 9421 B","","","","",
"300070000","00700220","PRINTER","","","","",
"300070000","00700221","TRANSPARAN HEWLET","","","","",
"300070000","00700222","USB D-LINK WIRELESS","","","","",
"300070000","00700223","SPEKER GENTUS","","","","",
"300070000","00700224","ROL PRINTER","","","","",
"300070000","00700225","EPSON LX 300+II","","","","",
"300070000","00700226","SC C.941","","","","",
"300070000","00700227","HUB","","","","",
"300070000","00700228","PLASH DISK","","","","",
"300070000","00700229","KABEL PTO TRANSMISI","","","","",
"300070000","00700230","CPU","","","","",
"300070000","00700231","SD RAM 128MB","","","","",
"300070000","00700232","INLEFMANIFUL","","","","",
"300070000","00700233","UP GRADE CPU","","","","",
"300070000","00700234","AUTO SWITCH PARALEL","","","","",
"300070000","00700235","DRUM PRINTER","","","","",
"300070000","00700236","MOMORY CARD MMC","","","","",
"300070000","00700237","RIBBON MARK","","","","",
"300070000","00700238","RIBON PRINTER HP LASERJET","","","","",
"300070000","00700239","STANDAR MIC TINGGI","","","","",
"300070000","00700240","TEMPAT CD","","","","",
"300070000","00700241","TRICOM","","","","",
"300070000","00700242","UPS ELSA","","","","",
"300070000","00700243","MONITOR LCD 16""","","","","",
"300070000","00700244","KABEL IC 20","","","","",
"300070000","00700245","SPEAKER AKTIVE","","","","",
"300070000","00700246","KABEL KEYBOARD","","","","",
"300070000","00700247","MODEM FLASH","","","","",
"300070000","00700248","KABEL IC","","","","",
"300070000","00700249","NOTE BOOK","","","","",
"300070000","00700250","INFOKUS TOSHIBA","","","","",
"300070000","00700251","INFOKUS","","","","",
"300070000","00700252","KABEL HDD","","","","",
"300070000","00700253","VGA GEFOSE 4 MX 4000 64 M","","","","",
"300070000","00700254","DVD RAM DRIVE","","","","",
"300070000","00700255","PROCESSOR CORE 2 DUO","","","","",
"300070000","00700256","MEMORY V-GEN 1GB","","","","",
"300070000","00700257","MOUSE OPTIC COMBO","","","","",
"300070000","00700258","MONITOR LCD 15""","","","","",
"300070000","00700259","PROTEKTOR SCREEN","","","","",
"300070000","00700260","INFOCUS SONY XGA PVL EX-100","","","","",
"300070000","00700261","HARD DISK 640 GB","","","","",
"300070000","00700262","COOLING FAN CPU 370","","","","",
"300070000","00700263","SCREEN PORTESTER","","","","",
"300070000","00700264","FLASH DISK USB 4   GB","","","","",
"300070000","00700265","KABEL POWER KOMPUTER","","","","",
"300070000","00700266","MEMORY VISIPRO 128 MB","","","","",
"300070000","00700267","USB 2616A","","","","",
"300070000","00700268","PRINTER EPSON L110","09","UNIT","UNIT","",
"300070000","00700269","PRINTER HP DESK JET INK 2060","09","UNIT","UNIT","",
"300070000","00700270","KOMPUTER HP PRO 3340 MT","03","BUAH","BH","",
"300070000","00700271","BATRE LAPTOP","03","BUAH","BH","",
"300080000","00800***","ALAT-ALAT LABORATORIUM","","","","",
"300080000","00800001","ACID SULFURID","","","","",
"300080000","00800002","ALAT UKUR KADAR AIR","","","","",
"300080000","00800003","ALKOHOL TEKNIS","","","","",
"300080000","00800004","AMONIUM CLORIDA","","","","",
"300080000","00800005","AMONIUM SULFAT","","","","",
"300080000","00800006","BURET 25 ML","","","","",
"300080000","00800007","ERLENMEYER 100 mm","","","","",
"300080000","00800008","FORMALIN","","","","",
"300080000","00800009","PIPET UKUR 1 ML (PYREX)","","","","",
"300080000","00800010","STOF COCK","","","","",
"300080000","00800011","SILICA GEL BLUE","","","","",
"300080000","00800012","SAMPLE BOTTLE","","","","",
"300080000","00800013","ETHANOL","","","","",
"300080000","00800014","TEGULATOR SITER ELEMEN","","","","",
"300080000","00800015","WATER BATH","","","","",
"300080000","00800016","XENOSEP SPE STARTER","","","","",
"300080000","00800017","THERMOMETER SUHU","","","","",
"300080000","00800018","WANNA INTRUMENS TEMPERATUR","","","","",
"300080000","00800019","SELENIUM MIXTAR","","","","",
"300080000","00800020","TERMHOMETER","","","","",
"300080000","00800021","UNIPERSAL","","","","",
"300080000","00800022","SPATULLA","","","","",
"300080000","00800023","TERMOMETER ANALOG","","","","",
"300080000","00800024","SILIKON FET","","","","",
"300080000","00800025","PROTEKTOR TELINGA","","","","",
"300080000","00800026","BURET UK.500","","","","",
"300080000","00800027","CAT DANA BRITE","","","","",
"300080000","00800028","COOK OLAT 1000 W.","","","","",
"300080000","00800029","CRUSIBLE","","","","",
"300080000","00800030","CRUSTIN 16","","","","",
"300080000","00800032","ETHERNAL AKS","","","","",
"300080000","00800034","FIRE BAR CARIER","","","","",
"300080000","00800035","GELAS UKUR","","","","",
"300080000","00800036","KAPRIT","","","","",
"300080000","00800037","KARET GELEMBUNG AQUARIUM","","","","",
"300080000","00800038","KARET TUTUP BAK","","","","",
"300080000","00800039","MAL DRAAD KASAR & HALUS","","","","",
"300080000","00800040","MIRROR OUT PUT","","","","",
"300080000","00800042","AQUADES","","","","",
"300080000","00800043","MARMER","","","","",
"300080000","00800044","PLASTIK SELULOSA/POLISTER","","","","",
"300080000","00800045","ELEKTRO KARDIOGRAM","","","","",
"300080000","00800046","CAWAN BOCELIN 100 ml","","","","",
"300080000","00800047","MATRAS ROMANCE SPRING BED","","","","",
"300080000","00800048","METIL RED","","","","",
"300080000","00800049","METR AIR","","","","",
"300080000","00800050","ERLEMAYER MK","","","","",
"300080000","00800051","EROSIEN GUARD UPPE","","","","",
"300080000","00800052","METIL MERAH","","","","",
"300080000","00800053","BRONZ 4,5X3,6CMX90CM","","","","",
"300080000","00800054","ANALYTICAL BALANCE 220","","","","",
"300080000","00800055","BEAKER GLASS 100 ML","","","","",
"300080000","00800056","BOTOL EX AQUA","","","","",
"300080000","00800057","BOTOL SEMPROT","","","","",
"300080000","00800058","BOTTLE TRAP WASTAFEL","","","","",
"300080000","00800059","CCTV AUTECH KPL 136","","","","",
"300080000","00800060","CONE","","","","",
"300080000","00800061","CRUSS PANSELIN 50 MM","","","","",
"300080000","00800062","DIGITAL HAND","","","","",
"300080000","00800063","ERLENMEYER 1000 ML","","","","",
"300080000","00800064","EXTRACTOR","","","","",
"300080000","00800065","EXTRAK BERGAMOT","01","Buah","BH","",
"300080000","00800066","GLAS PENDUGA","","","","",
"300080000","00800067","KARET ISAPAN PIPET","","","","",
"300080000","00800068","LABU  UK:25 Ml","","","","",
"300080000","00800069","LIQUID SI","","","","",
"300080000","00800070","LOCK","","","","",
"300080000","00800071","MANY PUTIH","","","","",
"300080000","00800072","MOS OPTIC USB","","","","",
"300080000","00800073","NET AGROPO","","","","",
"300080000","00800074","SAMPLING ZONE","","","","",
"300080000","00800075","THERMOMETER 6"" 0-120'C","","","","",
"300080000","00800076","ALUMUNIUM SHEET","","","","",
"300080000","00800077","LABORATORY VISIBLE SPECTOMOTOR","","","","",
"300080000","00800078","KOH PA (KALIUM HYDROXID)","","","","",
"300080000","00800079","ASAM OXALAT PA","","","","",
"300080000","00800080","MOLIKOT 1000 PASK","","","","",
"300080000","00800081","PIPET UKUR 25 ML","","","","",
"300080000","00800082","EROCROM BLOK","","","","",
"300080000","00800083","GELAS UKURAN BD","","","","",
"300080000","00800084","CAWAN ALUMUNIUM","","","","",
"300080000","00800085","DESINFECTAN","","","","",
"300080000","00800086","MORTAR & PASTLE","","","","",
"300080000","00800087","KASA ASBES","","","","",
"300080000","00800088","BATRE BIOS","","","","",
"300080000","00800089","ERLENMEYER 500 ML","","","","",
"300080000","00800090","ERLENMEYER 250 ML","","","","",
"300080000","00800091","BEAL JOINT","","","","",
"300080000","00800092","PIPET UKUR 10 ML (PYREX)","","","","",
"300080000","00800093","KLEM BURET","","","","",
"300080000","00800094","LAMPU SPIRTUS","","","","",
"300080000","00800095","PIPET VOLUME 10 ML","","","","",
