"KodeUnit","Norek","NamaRekening","Netral","vblok",
"71","050011903","ASURANSI KECELAKAAN DIRI/MOLES","False","False",
"71","608202400","KEBUN TAMBAKSARI","False","False",
"71","130200006","BINTANG TERANG LATEX","False","False",
"71","055001944","TUNJANGAN KHUSUS","False","False",
"71","640080400","BIAYA TEH","False","False",
"71","640050600","BIAYA PEMEL. TAMAN","False","False",
"71","130227201","IBIS MAKASAR HOTEL","False","False",
"71","928010223","KACA MATA","False","False",
"71","860000500","BIAYA PELABUHAN/PALLET/FUMIGASI/CFS U/KARET","False","False",
"71","050050700","MENYIANG DAN MERUMPUT","False","False",
"71","640031917","CUTI TAHUNAN/PANJANG","False","False",
"71","049200000","REKENING PEMINDAHBUKUAN","False","False",
"71","608120000","BIAYA PENYUSUTAN TAKELING","False","False",
"71","052041942","TUNJANGAN STRUKTURAL","False","False",
"71","640021901","CUTI TAHUNAN/PANJANG","False","False",
"71","130220140","PULSA LESTARI PT.","False","False",
"71","095020000","CADANGAN UMUM","False","False",
"71","640141927","TUNJANGAN TETAP","False","False",
"71","057020202","NYACAR","False","False",
"71","050061900","LAIN-LAIN/EAP","False","False",
"71","640101700","ALOKASI BIAYA UMUM","False","False",
"71","028070000","PERLENGKAPAN KANTOR KEBUN","False","False",
"71","150120178","CV.GIA PERKASA KOMPUTER","False","False",
"71","130227007","SANUR BEACH HOTEL","False","False",
"71","050011942","TUNJANGAN STRUKTURAL","False","False",
"71","056021939","TUNJANGAN KOMUNIKASI","False","False",
"71","929060206","KEAMANAN","False","False",
"71","110140000","BANK BBD AC.110-010.02442EKS CIMERAK","False","False",
"71","042190001","CUTI TAHUNAN/PANJANG","True","False",
"71","058020601","HAMA - HELOPELTIS","False","False",
"71","050001940","TUNJANGAN BBM/SEPEDA MOTOR","False","False",
"71","050001941","TUNJANGAN TETAP","False","False",
"71","050001942","TUNJANGAN STRUKTURAL","False","False",
"71","050001943","TUNJANGAN JABATAN","False","False",
"71","050001944","TUNJANGAN KHUSUS","False","False",
"71","050001945","TUNJANGAN HARI RAYA KEAGAMAAN","False","False",
"71","050002000","BIAYA TAHUN LALU","False","False",
"71","050009900","PEMINDAH BUKUAN/PENUTUP","False","False",
"71","144020000","PINJAMAN KARYAWAN IA","False","False",
"71","144020200","KANTOR INDUK","False","False",
"71","144021000","AFDELING I","False","False",
"71","144021100","AFDELING II","False","False",
"71","144021200","AFDELING III","False","False",
"71","144021300","AFDELING IV","False","False",
"71","144021400","AFDELING V","False","False",
"71","144021500","AFDELING VI","False","False",
"71","144022000","PABRIK TPC","False","False",
"71","144022100","PENGOLAHAN II","False","False",
"71","144022200","PENGOLAHAN III","False","False",
"71","144022300","PENGOLAHAN IV","False","False",
"71","144022400","PENGOLAHAN V","False","False",
"71","144022500","PENGOLAHAN VI","False","False",
"71","144023000","TEKNIK I","False","False",
"71","144030000","PINJAMAN KARYAWAN IA","False","False",
"71","144030200","KANTOR INDUK","False","False",
"71","144031000","AFDELING I","False","False",
"71","144031100","AFDELING II","False","False",
"71","144031200","AFDELING III","False","False",
"71","144031400","AFDELING V","False","False",
"71","144031500","AFDELING VI","False","False",
"71","144032000","PENGOLAHAN I","False","False",
"71","144032100","PENGOLAHAN II","False","False",
"71","144032200","PENGOLAHAN III","False","False",
"71","144032300","PENGOLAHAN IV","False","False",
"71","144032400","PENGOLAHAN V","False","False",
"71","144032500","PENGOLAHAN VI","False","False",
"71","144033000","TEKNIK I","False","False",
"71","144033100","TEKNIK II","False","False",
"71","154010000","GAJI PEGAWAI STAF","False","False",
"71","154020000","GAJI PEGAWAI NON STAF","False","False",
