"kodeunit","tanggal","noaktiva","tarifpct","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","jmlunit","satuan","nobukti","leveransir","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","reks","kbns","murnis","stopr",
"71","01-01-2017 00:00:00","7100100001","4","12","00","001","001000000","01-01-1980 00:00:00","TM AFD III TAHUN TANAM 1974","04","1","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-512370","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100002","4","02","00","001","001000000","01-01-1980 00:00:00","BUNGA NES","04","1","Hektare","SALDO AWAL","","64218465","0","0","0","0","0","0","64218464","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100003","4","11","00","001","001000000","01-01-1992 00:00:00","TM AFD.II TAHUN TANAM 1986","04","5,06","Hektare","SALDO AWAL","","12191577","0","0","0","0","0","0","3855614,49","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100004","4","11","00","001","001000000","01-01-1992 00:00:00","TM AFD.II TAHUN TANAM 1986","04","4,94","Hektare","SALDO AWAL","","11902448","0","0","0","0","0","0","2835014,09333333","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100005","4","10","00","001","001000000","01-01-1992 00:00:00","TM AFD.I TAHUN TANAM 1985","04","20","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-20","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100006","4","11","00","001","001000000","01-01-1993 00:00:00","TM AFD.II TAHUN TANAM 1986","04","7,4","Hektare","SALDO AWAL","","22200943","0","0","0","0","0","0","5905447,57666667","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100007","4","11","00","001","001000000","01-01-1993 00:00:00","TM AFD.II TAHUN TANAM 1986","04","8,95","Hektare","SALDO AWAL","","26851140","0","0","0","0","0","0","9348501,8","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100008","4","11","00","001","001000000","01-01-1993 00:00:00","TM AFD.II TANAN TANAM 1986","04","40","Hektare","SALDO AWAL","","119591356","0","0","0","0","0","0","39580421,3866667","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100009","4","11","00","001","001000000","01-01-1993 00:00:00","TM AFD.II TAHUN TANAM 1986","04","48,07","Hektare","SALDO AWAL","","144216124","0","0","0","0","0","0","51740821,5466667","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100010","4","10","00","001","001000000","01-01-1993 00:00:00","TM AFD.I TAHUN TANAM 1985","04","25,47","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-25,4700000114972","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100011","4","10","00","001","001000000","01-01-1993 00:00:00","TM AFD.I TAHUN TANAM 1985","04","42","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-42,0000000074506","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100012","4","10","00","001","001000000","01-01-1993 00:00:00","TM AFD.I TAHUN TANAM 1985","04","50","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-49,9999999953434","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100013","4","10","00","001","001000000","01-01-1993 00:00:00","TM AFD.I TAHUN TANAM 1985","04","22","Hektare","SALDO AWAL","","0","0","0","0","0","0","0","-21,9999999756692","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100014","4","11","00","001","001000000","01-01-1994 00:00:00","TM AFD.II TAHUN TANAM 1986","04","53,23","Hektare","SALDO AWAL","","192377301","0","0","0","0","0","0","76881949,37","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100015","4","11","00","001","001000000","01-01-1994 00:00:00","TM AFD.II TAHUN TANAM 1986","04","28,05","Hektare","SALDO AWAL","","101222722","0","0","0","0","0","0","42528236,8066667","0","0","0","0","0","0","",
"71","01-01-2017 00:00:00","7100100016","4","11","00","001","001000000","01-01-1994 00:00:00","TM AFD.II TAHUN TANAM 1986","04","39,27","Hektare","SALDO AWAL","","141711811","0","0","0","0","0","0","60846925,7366667","0","0","0","0","0","0","",
